Kode Unit Motor,Tahun Kendaraan,Kilometer,Usia_Kendaraan,Kondisi_Oli,Kondisi_Rem,KM_Terakhir_Ganti_Oli,Bulan_Terakhir_Ganti_Oli,KM_Per_Tahun,Jumlah_Keluhan,Jns Service
MIO,2021,0,0,Baik,Baik,0,3,0,0,rutin
MIO-M3 125,2019,21562,2,Kritis,Perlu Penyetelan,5791,8,10781,2,repair
FILANO-NEO,2020,7165,1,Baik,Baik,706,2,7165,0,rutin
NMAX-NEO-S,2018,48423,3,Kritis,Perlu Penggantian,1307,11,16141,2,repair
R15,2019,18316,2,Baik,Perlu Penyetelan,608,2,9158,0,rutin
NMAX-NEO-S,2020,16528,1,Kritis,Perlu Penyetelan,3292,7,16528,0,rutin
MIO,2019,24011,2,Kritis,Perlu Penyetelan,5298,10,12005,0,rutin
ALL-NEW-AEROX,2021,0,0,Perlu Ganti,Baik,0,6,0,0,rutin
MIO,2018,26926,3,Baik,Perlu Penggantian,735,2,8975,3,repair
X-MAX-CONNEC,2018,29214,3,Kritis,Perlu Penggantian,45,8,9738,3,repair
NMAX-NEO-S,2021,157,0,Baik,Baik,51,3,157,0,rutin
MIO,2020,12602,1,Baik,Baik,1715,3,12602,0,rutin
MIO,2020,12952,1,Kritis,Baik,1148,8,12952,0,rutin
MIO-M3 125,2021,19,0,Kritis,Baik,1,8,19,2,repair
MIO,2021,0,0,Baik,Baik,0,2,0,0,rutin
XSR 155,2021,0,0,Kritis,Baik,0,11,0,1,repair
MIO,2021,200,0,Baik,Baik,120,4,200,0,rutin
LEXI,2021,0,0,Kritis,Baik,0,9,0,2,repair
ALL-NEW-AEROX,2019,14299,2,Baik,Baik,1628,2,7149,0,rutin
ALL-NEW-NMAX,2020,5341,1,Perlu Ganti,Baik,2420,3,5341,0,rutin
R15,2019,24342,2,Kritis,Perlu Penyetelan,4154,7,12171,1,repair
MIO,2021,443,0,Kritis,Baik,416,9,443,0,rutin
X-MAX-CONNEC,2018,37794,3,Kritis,Perlu Penggantian,8364,12,12598,3,repair
ALL-NEW-NMAX,2021,93,0,Kritis,Baik,32,10,93,1,repair
X-MAX-CONNEC,2019,26192,2,Kritis,Perlu Penggantian,7687,12,13096,4,rutin
FILANO-NEO,2018,25543,3,Perlu Ganti,Perlu Penggantian,1158,7,8514,1,repair
FREE-GO-S,2021,183,0,Baik,Baik,100,3,183,0,rutin
FREE-GO-S,2019,10119,2,Perlu Ganti,Baik,2477,3,5059,0,rutin
FREE-GO-S,2019,13077,2,Kritis,Baik,2101,8,6538,1,repair
FILANO-NEO,2021,0,0,Kritis,Baik,0,10,0,1,repair
MIO-M3 125,2019,20765,2,Perlu Ganti,Perlu Penyetelan,1624,5,10382,0,rutin
ALL-NEW-AEROX,2019,21728,2,Kritis,Perlu Penyetelan,1680,9,10864,3,repair
MIO,2020,6770,1,Kritis,Baik,5420,11,6770,2,repair
FREE-GO-S,2020,7740,1,Kritis,Baik,4675,8,7740,1,repair
ALL-NEW-NMAX,2018,28195,3,Baik,Perlu Penggantian,499,1,9398,1,repair
ALL-NEW-AEROX,2018,45191,3,Baik,Perlu Penggantian,223,1,15063,1,repair
LEXI,2020,6666,1,Baik,Baik,1238,2,6666,0,rutin
LEXI,2021,361,0,Baik,Baik,338,3,361,0,rutin
R15,2020,10031,1,Perlu Ganti,Baik,2418,5,10031,0,rutin
ALL-NEW-AEROX,2021,345,0,Baik,Baik,97,4,345,0,rutin
NMAX-NEO-S,2021,1,0,Baik,Baik,0,4,1,0,rutin
MIO-M3 125,2020,6998,1,Kritis,Baik,6394,11,6998,2,repair
ALL-NEW-AEROX,2020,10140,1,Perlu Ganti,Baik,2425,5,10140,0,rutin
FREE-GO-S,2021,22,0,Kritis,Baik,9,10,22,1,rutin
FILANO-NEO,2020,7245,1,Perlu Ganti,Baik,2621,3,7245,0,rutin
LEXI,2021,0,0,Kritis,Baik,0,11,0,1,repair
LEXI,2020,5739,1,Perlu Ganti,Baik,2214,3,5739,0,rutin
MIO,2018,32092,3,Baik,Perlu Penggantian,50,3,10697,1,rutin
NMAX-NEO-S,2019,18833,2,Kritis,Perlu Penyetelan,6137,9,9416,1,rutin
MIO,2019,14928,2,Kritis,Baik,7539,11,7464,2,repair
ALL-NEW-NMAX,2020,8995,1,Baik,Baik,498,3,8995,0,rutin
MIO-M3 125,2019,16466,2,Kritis,Perlu Penyetelan,7172,11,8233,0,rutin
NMAX-NEO-S,2021,469,0,Baik,Baik,397,1,469,0,rutin
ALL-NEW-NMAX,2021,287,0,Baik,Baik,168,2,287,0,rutin
NMAX-NEO-S,2019,15912,2,Kritis,Perlu Penyetelan,7123,11,7956,2,repair
LEXI,2020,7423,1,Kritis,Baik,3445,11,7423,1,rutin
ALL-NEW-AEROX,2020,7013,1,Kritis,Baik,5191,6,7013,2,repair
ALL-NEW-NMAX,2020,7985,1,Kritis,Baik,5280,6,7985,1,repair
R15,2020,6625,1,Kritis,Baik,4444,7,6625,1,repair
MIO-M3 125,2018,25209,3,Baik,Perlu Penggantian,135,2,8403,2,repair
ALL-NEW-NMAX,2019,10374,2,Perlu Ganti,Baik,1726,6,5187,0,rutin
R15,2019,26978,2,Baik,Perlu Penggantian,1411,1,13489,0,rutin
MIO,2018,27155,3,Kritis,Perlu Penggantian,3437,5,9051,3,rutin
MIO-M3 125,2021,0,0,Kritis,Baik,0,12,0,2,repair
NMAX-NEO-S,2021,285,0,Kritis,Baik,73,12,285,1,repair
MIO-M3 125,2018,29972,3,Baik,Perlu Penggantian,344,4,9990,1,rutin
MIO,2019,23419,2,Kritis,Perlu Penyetelan,4742,9,11709,3,repair
VIXION,2021,0,0,Baik,Baik,0,2,0,0,rutin
MIO,2019,21849,2,Perlu Ganti,Perlu Penyetelan,2429,7,10924,0,rutin
FREE-GO-S,2018,27109,3,Kritis,Perlu Penggantian,4728,12,9036,2,repair
FILANO-NEO,2020,4892,1,Baik,Baik,308,1,4892,0,rutin
VIXION,2018,35755,3,Baik,Perlu Penggantian,1479,2,11918,2,repair
FAZZIO-NEO-HY,2018,15566,3,Kritis,Perlu Penyetelan,5975,12,5188,1,repair
FILANO-NEO,2018,27684,3,Kritis,Perlu Penggantian,7467,11,9228,3,repair
X-MAX-CONNEC,2019,23952,2,Baik,Perlu Penyetelan,1009,1,11976,0,rutin
NMAX-NEO-S,2018,38115,3,Perlu Ganti,Perlu Penggantian,2245,7,12705,1,repair
NMAX-NEO-S,2019,17094,2,Kritis,Perlu Penyetelan,3494,7,8547,1,rutin
MIO-M3 125,2018,31910,3,Baik,Perlu Penggantian,1022,1,10636,3,repair
ALL-NEW-AEROX,2018,27236,3,Kritis,Perlu Penggantian,4051,7,9078,3,repair
X-MAX-CONNEC,2018,32628,3,Kritis,Perlu Penggantian,9556,12,10876,3,repair
XSR 155,2021,496,0,Perlu Ganti,Baik,399,5,496,0,rutin
ALL-NEW-NMAX,2020,7874,1,Baik,Baik,489,1,7874,0,rutin
R15,2021,0,0,Kritis,Baik,0,8,0,2,repair
ALL-NEW-NMAX,2019,17048,2,Perlu Ganti,Perlu Penyetelan,2305,7,8524,0,rutin
VIXION,2021,0,0,Kritis,Baik,0,12,0,1,repair
ALL-NEW-NMAX,2019,20216,2,Perlu Ganti,Perlu Penyetelan,2251,3,10108,0,rutin
X-MAX-CONNEC,2019,22594,2,Baik,Perlu Penyetelan,346,3,11297,0,rutin
ALL-NEW-NMAX,2019,21564,2,Baik,Perlu Penyetelan,387,4,10782,0,rutin
X-MAX-CONNEC,2018,34022,3,Baik,Perlu Penggantian,162,1,11340,1,repair
XSR 155,2020,10333,1,Baik,Baik,55,2,10333,1,repair
FILANO-NEO,2020,7957,1,Kritis,Baik,3855,12,7957,2,repair
FILANO-NEO,2019,18520,2,Kritis,Perlu Penyetelan,4235,6,9260,2,repair
NMAX-NEO-S,2018,40615,3,Kritis,Perlu Penggantian,1551,12,13538,2,repair
FILANO-NEO,2018,31229,3,Baik,Perlu Penggantian,231,4,10409,1,rutin
FILANO-NEO,2019,20112,2,Kritis,Perlu Penyetelan,6721,11,10056,1,rutin
FAZZIO-NEO-HY,2018,15884,3,Kritis,Perlu Penyetelan,2864,10,5294,1,repair
MT-15,2018,33377,3,Kritis,Perlu Penggantian,3330,5,11125,4,repair
MIO-M3 125,2021,140,0,Kritis,Baik,98,9,140,1,repair
ALL-NEW-AEROX,2020,14518,1,Kritis,Baik,7468,9,14518,1,rutin
LEXI,2018,14500,3,Perlu Ganti,Perlu Penyetelan,2690,7,4833,0,rutin
R15,2020,13124,1,Perlu Ganti,Baik,2724,4,13124,0,rutin
ALL-NEW-NMAX,2020,5691,1,Kritis,Baik,5101,7,5691,2,repair
FREE-GO-S,2019,12501,2,Kritis,Baik,8051,12,6250,0,rutin
NMAX-NEO-S,2018,34682,3,Baik,Perlu Penggantian,834,4,11560,0,rutin
XSR 155,2018,39741,3,Baik,Perlu Penggantian,165,1,13247,0,rutin
FAZZIO-NEO-HY,2021,70,0,Kritis,Baik,52,12,70,0,rutin
FILANO-NEO,2019,18596,2,Kritis,Perlu Penyetelan,5501,11,9298,3,repair
ALL-NEW-AEROX,2019,19941,2,Kritis,Perlu Penyetelan,4110,7,9970,1,repair
R15,2021,11,0,Baik,Baik,1,1,11,0,rutin
FREE-GO-S,2018,16438,3,Kritis,Perlu Penyetelan,2329,8,5479,2,repair
NMAX-NEO-S,2019,29750,2,Baik,Perlu Penggantian,259,1,14875,2,repair
MT-15,2021,204,0,Baik,Baik,152,2,204,0,rutin
XSR 155,2021,12,0,Kritis,Baik,9,8,12,0,rutin
LEXI,2019,17197,2,Kritis,Perlu Penyetelan,7882,11,8598,2,repair
FREE-GO-S,2018,23862,3,Baik,Perlu Penyetelan,699,2,7954,0,rutin
ALL-NEW-NMAX,2018,19045,3,Kritis,Perlu Penyetelan,5182,7,6348,2,repair
ALL-NEW-AEROX,2018,45623,3,Kritis,Perlu Penggantian,4411,7,15207,2,repair
LEXI,2020,6193,1,Kritis,Baik,2638,8,6193,0,rutin
FREE-GO-S,2019,10658,2,Baik,Baik,920,3,5329,0,rutin
MIO,2018,18348,3,Kritis,Perlu Penyetelan,3203,5,6116,2,repair
MIO,2019,12301,2,Kritis,Baik,3600,12,6150,2,repair
XSR 155,2019,17632,2,Baik,Perlu Penyetelan,177,4,8816,0,rutin
FREE-GO-S,2020,9339,1,Kritis,Baik,8865,11,9339,2,repair
MIO,2018,24713,3,Kritis,Perlu Penyetelan,4936,6,8237,2,repair
LEXI,2021,0,0,Kritis,Baik,0,8,0,0,rutin
X-MAX-CONNEC,2018,23670,3,Baik,Perlu Penyetelan,1547,3,7890,1,rutin
FAZZIO-NEO-HY,2019,10372,2,Kritis,Baik,4114,7,5186,0,rutin
XSR 155,2019,27543,2,Perlu Ganti,Perlu Penggantian,2415,2,13771,1,rutin
MIO,2020,9756,1,Kritis,Baik,7473,10,9756,1,rutin
LEXI,2019,18661,2,Kritis,Perlu Penyetelan,5963,10,9330,1,repair
MT-15,2019,25566,2,Kritis,Perlu Penggantian,252,9,12783,3,repair
ALL-NEW-AEROX,2020,11967,1,Kritis,Baik,5389,7,11967,0,rutin
FILANO-NEO,2018,24063,3,Kritis,Perlu Penyetelan,1863,8,8021,2,repair
ALL-NEW-NMAX,2019,10397,2,Perlu Ganti,Baik,539,5,5198,0,rutin
MIO-M3 125,2018,30702,3,Kritis,Perlu Penggantian,963,11,10234,2,repair
ALL-NEW-NMAX,2021,429,0,Baik,Baik,117,3,429,0,rutin
XSR 155,2019,20107,2,Kritis,Perlu Penyetelan,3939,10,10053,3,repair
MIO,2018,37199,3,Kritis,Perlu Penggantian,5515,10,12399,2,repair
ALL-NEW-AEROX,2019,21871,2,Perlu Ganti,Perlu Penyetelan,2157,2,10935,0,rutin
R15,2021,0,0,Kritis,Baik,0,11,0,1,repair
LEXI,2021,0,0,Perlu Ganti,Baik,0,7,0,0,rutin
X-MAX-CONNEC,2018,31497,3,Baik,Perlu Penggantian,895,4,10499,0,rutin
LEXI,2019,11479,2,Baik,Baik,631,2,5739,0,rutin
X-MAX-CONNEC,2020,12286,1,Kritis,Baik,5856,7,12286,1,rutin
NMAX-NEO-S,2021,227,0,Perlu Ganti,Baik,44,7,227,0,rutin
FILANO-NEO,2020,9637,1,Perlu Ganti,Baik,1853,7,9637,0,rutin
NMAX-NEO-S,2018,21427,3,Baik,Perlu Penyetelan,1041,3,7142,0,rutin
NMAX-NEO-S,2018,45822,3,Kritis,Perlu Penggantian,8423,12,15274,0,rutin
NMAX-NEO-S,2019,20591,2,Baik,Perlu Penyetelan,903,3,10295,0,rutin
ALL-NEW-AEROX,2018,26359,3,Kritis,Perlu Penggantian,3121,5,8786,1,rutin
LEXI,2020,11163,1,Baik,Baik,1630,2,11163,0,rutin
NMAX-NEO-S,2019,19771,2,Kritis,Perlu Penyetelan,226,9,9885,1,repair
MT-15,2018,27075,3,Kritis,Perlu Penggantian,1604,11,9025,2,repair
ALL-NEW-AEROX,2021,0,0,Kritis,Baik,0,9,0,0,rutin
VIXION,2020,11764,1,Perlu Ganti,Baik,2602,5,11764,1,rutin
X-MAX-CONNEC,2020,10877,1,Kritis,Baik,5240,6,10877,1,rutin
MIO,2018,38016,3,Perlu Ganti,Perlu Penggantian,2536,7,12672,1,repair
NMAX-NEO-S,2021,0,0,Baik,Baik,0,3,0,0,rutin
FREE-GO-S,2018,32098,3,Baik,Perlu Penggantian,652,4,10699,2,repair
NMAX-NEO-S,2019,32107,2,Perlu Ganti,Perlu Penggantian,2158,2,16053,2,repair
MIO,2021,0,0,Perlu Ganti,Baik,0,6,0,0,rutin
ALL-NEW-NMAX,2019,20497,2,Perlu Ganti,Perlu Penyetelan,2735,4,10248,1,repair
FILANO-NEO,2018,18930,3,Kritis,Perlu Penyetelan,5180,6,6310,3,repair
FREE-GO-S,2019,17134,2,Kritis,Perlu Penyetelan,3288,5,8567,1,repair
ALL-NEW-NMAX,2018,14895,3,Kritis,Perlu Penyetelan,3099,6,4965,1,rutin
MIO,2018,18122,3,Kritis,Perlu Penyetelan,3184,11,6040,1,repair
X-MAX-CONNEC,2018,33728,3,Perlu Ganti,Perlu Penggantian,1500,6,11242,0,rutin
FREE-GO-S,2018,17649,3,Baik,Perlu Penyetelan,790,1,5883,0,rutin
FAZZIO-NEO-HY,2018,31967,3,Kritis,Perlu Penggantian,4776,7,10655,2,repair
FAZZIO-NEO-HY,2021,163,0,Kritis,Baik,94,8,163,1,rutin
LEXI,2019,21618,2,Kritis,Perlu Penyetelan,3551,6,10809,0,rutin
FILANO-NEO,2019,12064,2,Kritis,Baik,2575,9,6032,2,repair
NMAX-NEO-S,2019,17551,2,Baik,Perlu Penyetelan,1175,4,8775,0,rutin
ALL-NEW-AEROX,2019,18767,2,Kritis,Perlu Penyetelan,3061,9,9383,1,repair
MT-15,2018,28373,3,Kritis,Perlu Penggantian,4584,12,9457,3,repair
R15,2020,8059,1,Kritis,Baik,5988,7,8059,1,repair
LEXI,2018,16204,3,Kritis,Perlu Penyetelan,3061,10,5401,2,rutin
NMAX-NEO-S,2019,14947,2,Baik,Baik,102,2,7473,0,rutin
X-MAX-CONNEC,2021,0,0,Perlu Ganti,Baik,0,5,0,0,rutin
NMAX-NEO-S,2021,195,0,Baik,Baik,179,4,195,0,rutin
NMAX-NEO-S,2019,16847,2,Kritis,Perlu Penyetelan,6303,12,8423,1,repair
ALL-NEW-AEROX,2021,0,0,Baik,Baik,0,3,0,0,rutin
ALL-NEW-NMAX,2021,56,0,Kritis,Baik,39,8,56,1,rutin
NMAX-NEO-S,2021,238,0,Kritis,Baik,74,8,238,0,rutin
ALL-NEW-NMAX,2021,263,0,Perlu Ganti,Baik,30,5,263,1,rutin
LEXI,2021,0,0,Kritis,Baik,0,8,0,0,rutin
ALL-NEW-NMAX,2021,0,0,Baik,Baik,0,1,0,0,rutin
ALL-NEW-NMAX,2018,30507,3,Baik,Perlu Penggantian,983,1,10169,1,repair
FREE-GO-S,2020,7580,1,Baik,Baik,1400,3,7580,0,rutin
NMAX-NEO-S,2019,15314,2,Kritis,Perlu Penyetelan,4360,12,7657,1,rutin
XSR 155,2019,27873,2,Perlu Ganti,Perlu Penggantian,2891,7,13936,1,rutin
R15,2018,23988,3,Perlu Ganti,Perlu Penyetelan,2145,2,7996,3,repair
NMAX-NEO-S,2018,45901,3,Perlu Ganti,Perlu Penggantian,177,6,15300,3,repair
X-MAX-CONNEC,2019,26127,2,Perlu Ganti,Perlu Penggantian,2037,3,13063,3,repair
MIO-M3 125,2021,0,0,Kritis,Baik,0,11,0,0,rutin
FREE-GO-S,2021,150,0,Baik,Baik,100,2,150,0,rutin
MIO,2019,13252,2,Kritis,Baik,6370,9,6626,0,rutin
MT-15,2020,13317,1,Baik,Baik,940,2,13317,0,rutin
X-MAX-CONNEC,2020,16026,1,Baik,Perlu Penyetelan,1530,4,16026,0,rutin
FREE-GO-S,2020,9854,1,Kritis,Baik,3933,10,9854,1,rutin
MIO-M3 125,2020,8959,1,Kritis,Baik,8270,11,8959,0,rutin
ALL-NEW-NMAX,2018,18095,3,Baik,Perlu Penyetelan,1672,3,6031,0,rutin
ALL-NEW-NMAX,2020,5645,1,Kritis,Baik,2129,8,5645,0,rutin
LEXI,2019,20130,2,Kritis,Perlu Penyetelan,6932,11,10065,1,repair
MIO-M3 125,2021,0,0,Kritis,Baik,0,9,0,2,repair
LEXI,2020,7384,1,Baik,Baik,1501,1,7384,0,rutin
XSR 155,2021,427,0,Baik,Baik,417,1,427,0,rutin
MT-15,2020,13263,1,Perlu Ganti,Baik,2851,3,13263,0,rutin
MIO,2019,16329,2,Perlu Ganti,Perlu Penyetelan,402,5,8164,0,rutin
XSR 155,2019,14161,2,Kritis,Baik,3975,6,7080,1,repair
MIO,2019,24252,2,Kritis,Perlu Penyetelan,5050,10,12126,3,repair
FREE-GO-S,2018,24068,3,Kritis,Perlu Penyetelan,3923,11,8022,2,repair
LEXI,2018,26631,3,Kritis,Perlu Penggantian,5361,10,8877,2,repair
ALL-NEW-NMAX,2018,28893,3,Baik,Perlu Penggantian,1034,3,9631,1,repair
XSR 155,2019,15439,2,Kritis,Perlu Penyetelan,5261,9,7719,1,rutin
MIO-M3 125,2020,5135,1,Kritis,Baik,607,11,5135,1,repair
ALL-NEW-AEROX,2021,0,0,Perlu Ganti,Baik,0,5,0,1,rutin
XSR 155,2018,24707,3,Perlu Ganti,Perlu Penyetelan,2059,2,8235,1,repair
NMAX-NEO-S,2021,477,0,Kritis,Baik,391,12,477,2,repair
FREE-GO-S,2020,8351,1,Kritis,Baik,4000,12,8351,2,repair
R15,2018,33854,3,Perlu Ganti,Perlu Penggantian,844,5,11284,3,repair
MIO-M3 125,2020,4779,1,Perlu Ganti,Baik,33,7,4779,0,rutin
XSR 155,2019,27724,2,Perlu Ganti,Perlu Penggantian,2964,5,13862,4,repair
MIO-M3 125,2018,19702,3,Perlu Ganti,Perlu Penyetelan,1869,7,6567,0,rutin
LEXI,2019,20376,2,Kritis,Perlu Penyetelan,3265,6,10188,1,rutin
LEXI,2021,204,0,Kritis,Baik,123,12,204,0,rutin
FREE-GO-S,2021,96,0,Perlu Ganti,Baik,90,5,96,0,rutin
MIO,2020,7040,1,Perlu Ganti,Baik,2832,5,7040,0,rutin
LEXI,2020,9498,1,Kritis,Baik,4999,8,9498,0,rutin
XSR 155,2018,30739,3,Kritis,Perlu Penggantian,4803,8,10246,3,repair
FAZZIO-NEO-HY,2020,10000,1,Perlu Ganti,Baik,1897,3,10000,0,rutin
FREE-GO-S,2020,7547,1,Perlu Ganti,Baik,723,5,7547,0,rutin
MIO,2019,16468,2,Kritis,Perlu Penyetelan,2368,11,8234,1,rutin
FAZZIO-NEO-HY,2019,14169,2,Perlu Ganti,Baik,2488,5,7084,0,rutin
FILANO-NEO,2021,151,0,Baik,Baik,110,2,151,0,rutin
ALL-NEW-AEROX,2021,0,0,Kritis,Baik,0,8,0,1,repair
FREE-GO-S,2021,369,0,Kritis,Baik,321,8,369,1,repair
MIO,2021,0,0,Kritis,Baik,0,9,0,1,repair
XSR 155,2020,6297,1,Kritis,Baik,451,12,6297,2,repair
XSR 155,2019,25674,2,Kritis,Perlu Penggantian,4840,9,12837,0,rutin
FILANO-NEO,2019,11479,2,Kritis,Baik,6503,9,5739,1,rutin
FILANO-NEO,2021,267,0,Baik,Baik,203,1,267,0,rutin
FAZZIO-NEO-HY,2019,11467,2,Kritis,Baik,3252,9,5733,0,rutin
X-MAX-CONNEC,2019,24011,2,Kritis,Perlu Penyetelan,4288,5,12005,2,repair
MIO-M3 125,2020,6506,1,Perlu Ganti,Baik,804,5,6506,1,repair
LEXI,2019,20011,2,Kritis,Perlu Penyetelan,3686,7,10005,0,rutin
R15,2020,14230,1,Kritis,Baik,1578,8,14230,3,repair
MIO,2018,20181,3,Kritis,Perlu Penyetelan,4004,9,6727,1,rutin
NMAX-NEO-S,2020,10268,1,Perlu Ganti,Baik,335,5,10268,0,rutin
ALL-NEW-NMAX,2020,5796,1,Baik,Baik,932,3,5796,0,rutin
ALL-NEW-NMAX,2019,15337,2,Kritis,Perlu Penyetelan,4141,6,7668,0,rutin
FILANO-NEO,2021,139,0,Kritis,Baik,39,12,139,1,rutin
MIO,2021,0,0,Kritis,Baik,0,11,0,2,repair
MIO-M3 125,2018,27683,3,Kritis,Perlu Penggantian,3800,7,9227,3,repair
FREE-GO-S,2020,7861,1,Baik,Baik,1328,2,7861,0,rutin
NMAX-NEO-S,2020,13920,1,Perlu Ganti,Baik,1565,6,13920,0,rutin
VIXION,2019,22845,2,Kritis,Perlu Penyetelan,3042,4,11422,0,rutin
NMAX-NEO-S,2019,17909,2,Kritis,Perlu Penyetelan,4586,7,8954,2,repair
ALL-NEW-AEROX,2020,12783,1,Kritis,Baik,7348,12,12783,1,repair
R15,2021,241,0,Baik,Baik,195,1,241,0,rutin
ALL-NEW-NMAX,2021,404,0,Baik,Baik,266,2,404,0,rutin
LEXI,2019,13204,2,Perlu Ganti,Baik,260,6,6602,0,rutin
LEXI,2018,32195,3,Kritis,Perlu Penggantian,3803,6,10731,2,repair
MIO-M3 125,2018,19834,3,Kritis,Perlu Penyetelan,5994,8,6611,3,rutin
ALL-NEW-NMAX,2018,25166,3,Kritis,Perlu Penggantian,3062,12,8388,2,repair
MIO,2018,21040,3,Kritis,Perlu Penyetelan,6155,9,7013,1,repair
FREE-GO-S,2018,19565,3,Baik,Perlu Penyetelan,88,2,6521,0,rutin
FREE-GO-S,2020,8789,1,Perlu Ganti,Baik,2104,3,8789,1,repair
MIO-M3 125,2019,14725,2,Kritis,Baik,5749,7,7362,1,repair
NMAX-NEO-S,2019,30970,2,Kritis,Perlu Penggantian,4870,7,15485,3,repair
ALL-NEW-NMAX,2018,20822,3,Perlu Ganti,Perlu Penyetelan,2488,3,6940,0,rutin
MIO-M3 125,2018,16322,3,Perlu Ganti,Perlu Penyetelan,1827,2,5440,2,repair
FREE-GO-S,2018,14452,3,Baik,Perlu Penyetelan,1020,3,4817,1,repair
MIO,2021,0,0,Kritis,Baik,0,8,0,2,repair
XSR 155,2019,18857,2,Kritis,Perlu Penyetelan,4036,6,9428,0,rutin
LEXI,2019,15557,2,Kritis,Perlu Penyetelan,4314,10,7778,3,repair
LEXI,2021,183,0,Perlu Ganti,Baik,51,5,183,0,rutin
X-MAX-CONNEC,2021,0,0,Perlu Ganti,Baik,0,6,0,0,rutin
FREE-GO-S,2018,18426,3,Kritis,Perlu Penyetelan,3502,11,6142,2,repair
ALL-NEW-NMAX,2021,0,0,Baik,Baik,0,4,0,0,rutin
NMAX-NEO-S,2021,342,0,Kritis,Baik,166,9,342,0,rutin
MIO,2019,22926,2,Baik,Perlu Penyetelan,938,1,11463,0,rutin
FREE-GO-S,2019,9867,2,Kritis,Baik,5458,9,4933,1,repair
MIO-M3 125,2018,15655,3,Kritis,Perlu Penyetelan,8763,12,5218,0,rutin
MIO,2021,0,0,Perlu Ganti,Baik,0,6,0,0,rutin
VIXION,2021,125,0,Perlu Ganti,Baik,100,7,125,0,rutin
ALL-NEW-AEROX,2021,310,0,Perlu Ganti,Baik,307,6,310,0,rutin
ALL-NEW-NMAX,2018,22750,3,Perlu Ganti,Perlu Penyetelan,2223,5,7583,0,rutin
XSR 155,2019,20409,2,Baik,Perlu Penyetelan,1238,3,10204,0,rutin
