Tgl FJB,No FJB,Kode Cust,Kode Unit Motor,Tahun Kendaraan,Kilometer,Jns Service,Kondisi_Oli,Kondisi_Rem,Bulan_Terakhir_Ganti_Oli,KM_Terakhir_Ganti_Oli,Usia_Kendaraan,Jumlah_Keluhan,KM_Per_Tahun
04-01-2021,FJB/8106/SBY/PL/2737,SBY3300944,MT-15,2020,7235,Repair,Kritis,Baik,11,6796,1,2,7235
04-01-2021,FJB/4761/SBY/PL/7381,SBY1445290,NMAX-NEO-S,2019,27087,Repair,Baik,Perlu Penggantian,1,277,2,2,13543
04-01-2021,FJB/8013/SBY/PL/8862,SBY6471236,NMAX-NEO-S,2018,34823,Repair,Baik,Perlu Penggantian,1,747,3,2,11607
04-01-2021,FJB/3893/SBY/PL/4787,SBY2628166,MIO,2018,18901,Rutin,Kritis,Perlu Penyetelan,10,3031,3,0,6300
04-01-2021,FJB/8216/SBY/PL/5412,SBY2298139,ALL-NEW-AEROX,2021,0,Repair,Kritis,Baik,8,0,0,2,0
04-01-2021,FJB/6791/SBY/PL/2863,SBY3892109,ALL-NEW-AEROX,2019,23767,Rutin,Perlu Ganti,Perlu Penyetelan,6,2162,2,0,11883
04-01-2021,FJB/3414/SBY/PL/4651,SBY6000764,ALL-NEW-AEROX,2018,25695,Repair,Perlu Ganti,Perlu Penggantian,6,1725,3,2,8565
05-01-2021,FJB/2924/SBY/PL/2208,SBY1045212,ALL-NEW-AEROX,2021,0,Rutin,Kritis,Baik,12,0,0,0,0
05-01-2021,FJB/8388/SBY/PL/2531,SBY7431497,MIO-M3 125,2020,5996,Rutin,Baik,Baik,3,763,1,0,5996
05-01-2021,FJB/4416/SBY/PL/4939,SBY3382792,MIO-M3 125,2020,6995,Rutin,Kritis,Baik,11,2197,1,0,6995
05-01-2021,FJB/1276/SBY/PL/6977,SBY6895231,ALL-NEW-NMAX,2021,0,Rutin,Perlu Ganti,Baik,5,0,0,0,0
05-01-2021,FJB/9238/SBY/PL/1231,SBY6181597,MIO,2021,0,Rutin,Baik,Baik,1,0,0,0,0
05-01-2021,FJB/5975/SBY/PL/7817,SBY1245498,ALL-NEW-AEROX,2021,0,Rutin,Kritis,Baik,9,0,0,0,0
06-01-2021,FJB/9471/SBY/PL/8554,SBY6019510,FREE-GO-S,2020,10906,Rutin,Kritis,Baik,7,4748,1,1,10906
06-01-2021,FJB/2939/SBY/PL/3055,SBY9807893,FILANO-NEO,2020,9165,Rutin,Baik,Baik,4,946,1,0,9165
06-01-2021,FJB/5545/SBY/PL/2724,SBY3172160,ALL-NEW-AEROX,2021,478,Rutin,Perlu Ganti,Baik,6,373,0,0,478
06-01-2021,FJB/5380/SBY/PL/2362,SBY6412307,LEXI,2018,27047,Repair,Baik,Perlu Penggantian,4,1071,3,1,9015
06-01-2021,FJB/8126/SBY/PL/3724,SBY3868071,X-MAX-CONNEC,2021,137,Rutin,Perlu Ganti,Baik,5,21,0,0,137
06-01-2021,FJB/7050/SBY/PL/2716,SBY2344851,MIO,2021,0,Rutin,Baik,Baik,3,0,0,0,0
06-01-2021,FJB/4536/SBY/PL/3991,SBY2787239,MIO-M3 125,2019,21562,Repair,Kritis,Perlu Penyetelan,8,5791,2,2,10781
06-01-2021,FJB/4000/SBY/PL/2237,SBY7421003,FILANO-NEO,2020,7165,Rutin,Baik,Baik,2,706,1,0,7165
06-01-2021,FJB/7106/SBY/PL/1718,SBY2077658,NMAX-NEO-S,2018,48423,Repair,Kritis,Perlu Penggantian,11,1307,3,2,16141
07-01-2021,FJB/4585/SBY/PL/2936,SBY5840183,R15,2019,18316,Rutin,Baik,Perlu Penyetelan,2,608,2,0,9158
07-01-2021,FJB/3991/SBY/PL/8463,SBY3680431,NMAX-NEO-S,2020,16528,Rutin,Kritis,Perlu Penyetelan,7,3292,1,0,16528
07-01-2021,FJB/5109/SBY/PL/7237,SBY2690282,MIO,2019,24011,Rutin,Kritis,Perlu Penyetelan,10,5298,2,0,12005
07-01-2021,FJB/1648/SBY/PL/8665,SBY4117076,ALL-NEW-AEROX,2021,0,Rutin,Perlu Ganti,Baik,6,0,0,0,0
07-01-2021,FJB/4339/SBY/PL/5955,SBY3328391,MIO,2018,26926,Repair,Baik,Perlu Penggantian,2,735,3,3,8975
07-01-2021,FJB/4611/SBY/PL/3630,SBY3422027,X-MAX-CONNEC,2018,29214,Repair,Kritis,Perlu Penggantian,8,45,3,3,9738
07-01-2021,FJB/1030/SBY/PL/5044,SBY2254359,NMAX-NEO-S,2021,157,Kupon Gratis I (DUA),Baik,Baik,3,51,0,0,157
08-01-2021,FJB/4992/SBY/PL/6282,SBY3326545,MIO,2020,12602,Rutin,Baik,Baik,3,1715,1,0,12602
08-01-2021,FJB/3287/SBY/PL/2585,SBY6252273,MIO,2020,12952,Rutin,Kritis,Baik,8,1148,1,0,12952
08-01-2021,FJB/5705/SBY/PL/9760,SBY9160552,MIO-M3 125,2021,19,Repair,Kritis,Baik,8,1,0,2,19
08-01-2021,FJB/1180/SBY/PL/4688,SBY7225822,MIO,2021,0,Kupon Gratis I (DUA),Baik,Baik,2,0,0,0,0
08-01-2021,FJB/5203/SBY/PL/6052,SBY8699673,XSR 155,2021,0,Repair,Kritis,Baik,11,0,0,1,0
09-01-2021,FJB/9936/SBY/PL/8094,SBY2446938,MIO,2021,200,Rutin,Baik,Baik,4,120,0,0,200
09-01-2021,FJB/5350/SBY/PL/8340,SBY4227823,LEXI,2021,0,Repair,Kritis,Baik,9,0,0,2,0
09-01-2021,FJB/3922/SBY/PL/2812,SBY5537979,ALL-NEW-AEROX,2019,14299,Rutin,Baik,Baik,2,1628,2,0,7149
09-01-2021,FJB/6562/SBY/PL/9252,SBY2564291,ALL-NEW-NMAX,2020,5341,Kupon Gratis I (DUA),Perlu Ganti,Baik,3,2420,1,0,5341
09-01-2021,FJB/6386/SBY/PL/3420,SBY7219771,R15,2019,24342,Repair,Kritis,Perlu Penyetelan,7,4154,2,1,12171
09-01-2021,FJB/5498/SBY/PL/5123,SBY8408404,MIO,2021,443,Rutin,Kritis,Baik,9,416,0,0,443
09-01-2021,FJB/4170/SBY/PL/8266,SBY2266780,X-MAX-CONNEC,2018,37794,Repair,Kritis,Perlu Penggantian,12,8364,3,3,12598
10-01-2021,FJB/3454/SBY/PL/8882,SBY4480062,ALL-NEW-NMAX,2021,93,Repair,Kritis,Baik,10,32,0,1,93
10-01-2021,FJB/3456/SBY/PL/1540,SBY5717083,X-MAX-CONNEC,2019,26192,Kupon Gratis I (DUA),Kritis,Perlu Penggantian,12,7687,2,4,13096
10-01-2021,FJB/7555/SBY/PL/8229,SBY4870872,FILANO-NEO,2018,25543,Repair,Perlu Ganti,Perlu Penggantian,7,1158,3,1,8514
10-01-2021,FJB/5647/SBY/PL/5717,SBY9638052,FREE-GO-S,2021,183,Rutin,Baik,Baik,3,100,0,0,183
10-01-2021,FJB/8941/SBY/PL/6872,SBY2827052,FREE-GO-S,2019,10119,Rutin,Perlu Ganti,Baik,3,2477,2,0,5059
11-01-2021,FJB/3667/SBY/PL/4615,SBY9294004,FREE-GO-S,2019,13077,Repair,Kritis,Baik,8,2101,2,1,6538
11-01-2021,FJB/6840/SBY/PL/7012,SBY9365292,FILANO-NEO,2021,0,Repair,Kritis,Baik,10,0,0,1,0
11-01-2021,FJB/5965/SBY/PL/3322,SBY3274550,MIO-M3 125,2019,20765,Rutin,Perlu Ganti,Perlu Penyetelan,5,1624,2,0,10382
11-01-2021,FJB/3451/SBY/PL/8447,SBY9613558,ALL-NEW-AEROX,2019,21728,Repair,Kritis,Perlu Penyetelan,9,1680,2,3,10864
12-01-2021,FJB/3653/SBY/PL/3404,SBY6358074,MIO,2020,6770,Repair,Kritis,Baik,11,5420,1,2,6770
12-01-2021,FJB/2721/SBY/PL/3193,SBY8883412,FREE-GO-S,2020,7740,Repair,Kritis,Baik,8,4675,1,1,7740
12-01-2021,FJB/5384/SBY/PL/8876,SBY5002027,ALL-NEW-NMAX,2018,28195,Repair,Baik,Perlu Penggantian,1,499,3,1,9398
12-01-2021,FJB/9066/SBY/PL/8543,SBY9666490,ALL-NEW-AEROX,2018,45191,Repair,Baik,Perlu Penggantian,1,223,3,1,15063
12-01-2021,FJB/5108/SBY/PL/5444,SBY4574991,LEXI,2020,6666,Kupon Gratis I (DUA),Baik,Baik,2,1238,1,0,6666
12-01-2021,FJB/9719/SBY/PL/3854,SBY2468063,LEXI,2021,361,Rutin,Baik,Baik,3,338,0,0,361
12-01-2021,FJB/5128/SBY/PL/7077,SBY7412407,R15,2020,10031,Kupon Gratis I (DUA),Perlu Ganti,Baik,5,2418,1,0,10031
12-01-2021,FJB/9626/SBY/PL/6660,SBY3772966,ALL-NEW-AEROX,2021,345,Kupon Gratis I (DUA),Baik,Baik,4,97,0,0,345
12-01-2021,FJB/4962/SBY/PL/9138,SBY3469636,NMAX-NEO-S,2021,1,Kupon Gratis I (DUA),Baik,Baik,4,0,0,0,1
12-01-2021,FJB/8858/SBY/PL/6201,SBY9581398,MIO-M3 125,2020,6998,Repair,Kritis,Baik,11,6394,1,2,6998
12-01-2021,FJB/8844/SBY/PL/4505,SBY2764235,ALL-NEW-AEROX,2020,10140,Rutin,Perlu Ganti,Baik,5,2425,1,0,10140
12-01-2021,FJB/3084/SBY/PL/2150,SBY3836082,FREE-GO-S,2021,22,Rutin,Kritis,Baik,10,9,0,1,22
12-01-2021,FJB/3131/SBY/PL/7898,SBY2654994,FILANO-NEO,2020,7245,Rutin,Perlu Ganti,Baik,3,2621,1,0,7245
13-01-2021,FJB/2644/SBY/PL/4016,SBY8702853,LEXI,2021,0,Repair,Kritis,Baik,11,0,0,1,0
13-01-2021,FJB/8604/SBY/PL/6400,SBY5924915,LEXI,2020,5739,Rutin,Perlu Ganti,Baik,3,2214,1,0,5739
13-01-2021,FJB/5542/SBY/PL/2951,SBY7832147,MIO,2018,32092,Rutin,Baik,Perlu Penggantian,3,50,3,1,10697
13-01-2021,FJB/7932/SBY/PL/1854,SBY7158568,NMAX-NEO-S,2019,18833,Kupon Gratis I (DUA),Kritis,Perlu Penyetelan,9,6137,2,1,9416
13-01-2021,FJB/6029/SBY/PL/2501,SBY8811254,MIO,2019,14928,Repair,Kritis,Baik,11,7539,2,2,7464
13-01-2021,FJB/5489/SBY/PL/8079,SBY1717454,ALL-NEW-NMAX,2020,8995,Rutin,Baik,Baik,3,498,1,0,8995
13-01-2021,FJB/2229/SBY/PL/6051,SBY6086149,MIO-M3 125,2019,16466,Rutin,Kritis,Perlu Penyetelan,11,7172,2,0,8233
13-01-2021,FJB/4238/SBY/PL/9941,SBY4225888,NMAX-NEO-S,2021,469,Rutin,Baik,Baik,1,397,0,0,469
13-01-2021,FJB/6673/SBY/PL/7008,SBY2669613,ALL-NEW-NMAX,2021,287,Rutin,Baik,Baik,2,168,0,0,287
13-01-2021,FJB/4689/SBY/PL/5571,SBY8632099,NMAX-NEO-S,2019,15912,Repair,Kritis,Perlu Penyetelan,11,7123,2,2,7956
13-01-2021,FJB/3528/SBY/PL/7090,SBY4379404,LEXI,2020,7423,Rutin,Kritis,Baik,11,3445,1,1,7423
13-01-2021,FJB/5472/SBY/PL/1405,SBY2017975,ALL-NEW-AEROX,2020,7013,Repair,Kritis,Baik,6,5191,1,2,7013
14-01-2021,FJB/2736/SBY/PL/7623,SBY8461740,ALL-NEW-NMAX,2020,7985,Repair,Kritis,Baik,6,5280,1,1,7985
14-01-2021,FJB/3739/SBY/PL/9135,SBY6491178,R15,2020,6625,Repair,Kritis,Baik,7,4444,1,1,6625
15-01-2021,FJB/7187/SBY/PL/7211,SBY3220161,MIO-M3 125,2018,25209,Repair,Baik,Perlu Penggantian,2,135,3,2,8403
15-01-2021,FJB/6287/SBY/PL/1462,SBY9561883,ALL-NEW-NMAX,2019,10374,Rutin,Perlu Ganti,Baik,6,1726,2,0,5187
15-01-2021,FJB/5305/SBY/PL/2649,SBY8439338,R15,2019,26978,Rutin,Baik,Perlu Penggantian,1,1411,2,0,13489
15-01-2021,FJB/2218/SBY/PL/6804,SBY6886222,MIO,2018,27155,Kupon Gratis II (TIGA),Kritis,Perlu Penggantian,5,3437,3,3,9051
16-01-2021,FJB/6133/SBY/PL/3045,SBY6260704,MIO-M3 125,2021,0,Repair,Kritis,Baik,12,0,0,2,0
16-01-2021,FJB/8351/SBY/PL/5018,SBY6284816,NMAX-NEO-S,2021,285,Repair,Kritis,Baik,12,73,0,1,285
16-01-2021,FJB/8943/SBY/PL/1020,SBY5401725,MIO-M3 125,2018,29972,Kupon Gratis II (TIGA),Baik,Perlu Penggantian,4,344,3,1,9990
16-01-2021,FJB/6959/SBY/PL/1944,SBY1147672,MIO,2019,23419,Repair,Kritis,Perlu Penyetelan,9,4742,2,3,11709
16-01-2021,FJB/2273/SBY/PL/6314,SBY7657252,VIXION,2021,0,Kupon Gratis I (DUA),Baik,Baik,2,0,0,0,0
16-01-2021,FJB/4016/SBY/PL/7233,SBY8186579,MIO,2019,21849,Kupon Gratis I (DUA),Perlu Ganti,Perlu Penyetelan,7,2429,2,0,10924
16-01-2021,FJB/3587/SBY/PL/8070,SBY5497908,FREE-GO-S,2018,27109,Repair,Kritis,Perlu Penggantian,12,4728,3,2,9036
16-01-2021,FJB/3061/SBY/PL/7582,SBY2183300,FILANO-NEO,2020,4892,Rutin,Baik,Baik,1,308,1,0,4892
16-01-2021,FJB/4666/SBY/PL/2082,SBY6238563,VIXION,2018,35755,Repair,Baik,Perlu Penggantian,2,1479,3,2,11918
17-01-2021,FJB/4370/SBY/PL/2648,SBY3840843,FAZZIO-NEO-HY,2018,15566,Repair,Kritis,Perlu Penyetelan,12,5975,3,1,5188
17-01-2021,FJB/9832/SBY/PL/1085,SBY8377777,FILANO-NEO,2018,27684,Repair,Kritis,Perlu Penggantian,11,7467,3,3,9228
17-01-2021,FJB/5644/SBY/PL/1657,SBY4892304,X-MAX-CONNEC,2019,23952,Kupon Gratis II (TIGA),Baik,Perlu Penyetelan,1,1009,2,0,11976
17-01-2021,FJB/9649/SBY/PL/6031,SBY3161742,NMAX-NEO-S,2018,38115,Repair,Perlu Ganti,Perlu Penggantian,7,2245,3,1,12705
17-01-2021,FJB/5681/SBY/PL/6863,SBY2263518,NMAX-NEO-S,2019,17094,Rutin,Kritis,Perlu Penyetelan,7,3494,2,1,8547
18-01-2021,FJB/2191/SBY/PL/7390,SBY9795581,MIO-M3 125,2018,31910,Repair,Baik,Perlu Penggantian,1,1022,3,3,10636
18-01-2021,FJB/5604/SBY/PL/8592,SBY9639158,ALL-NEW-AEROX,2018,27236,Repair,Kritis,Perlu Penggantian,7,4051,3,3,9078
18-01-2021,FJB/5604/SBY/PL/4086,SBY3157636,X-MAX-CONNEC,2018,32628,Repair,Kritis,Perlu Penggantian,12,9556,3,3,10876
19-01-2021,FJB/1350/SBY/PL/7070,SBY5579239,XSR 155,2021,496,Rutin,Perlu Ganti,Baik,5,399,0,0,496
19-01-2021,FJB/4395/SBY/PL/9375,SBY5589316,ALL-NEW-NMAX,2020,7874,Rutin,Baik,Baik,1,489,1,0,7874
19-01-2021,FJB/8925/SBY/PL/9057,SBY5324349,R15,2021,0,Repair,Kritis,Baik,8,0,0,2,0
19-01-2021,FJB/5446/SBY/PL/5349,SBY8483565,ALL-NEW-NMAX,2019,17048,Rutin,Perlu Ganti,Perlu Penyetelan,7,2305,2,0,8524
20-01-2021,FJB/4536/SBY/PL/8385,SBY6672698,VIXION,2021,0,Repair,Kritis,Baik,12,0,0,1,0
20-01-2021,FJB/4325/SBY/PL/7665,SBY4054214,ALL-NEW-NMAX,2019,20216,Rutin,Perlu Ganti,Perlu Penyetelan,3,2251,2,0,10108
20-01-2021,FJB/5804/SBY/PL/9343,SBY7584994,X-MAX-CONNEC,2019,22594,Kupon Gratis III (TIGA),Baik,Perlu Penyetelan,3,346,2,0,11297
20-01-2021,FJB/2982/SBY/PL/7790,SBY8950354,ALL-NEW-NMAX,2019,21564,Rutin,Baik,Perlu Penyetelan,4,387,2,0,10782
20-01-2021,FJB/4925/SBY/PL/9167,SBY2830855,X-MAX-CONNEC,2018,34022,Repair,Baik,Perlu Penggantian,1,162,3,1,11340
21-01-2021,FJB/8459/SBY/PL/3720,SBY3740437,XSR 155,2020,10333,Repair,Baik,Baik,2,55,1,1,10333
21-01-2021,FJB/8893/SBY/PL/4222,SBY1469595,FILANO-NEO,2020,7957,Repair,Kritis,Baik,12,3855,1,2,7957
21-01-2021,FJB/5697/SBY/PL/4028,SBY9530107,FILANO-NEO,2019,18520,Repair,Kritis,Perlu Penyetelan,6,4235,2,2,9260
21-01-2021,FJB/4788/SBY/PL/5130,SBY9029769,NMAX-NEO-S,2018,40615,Repair,Kritis,Perlu Penggantian,12,1551,3,2,13538
21-01-2021,FJB/3793/SBY/PL/9241,SBY2467134,FILANO-NEO,2018,31229,Rutin,Baik,Perlu Penggantian,4,231,3,1,10409
21-01-2021,FJB/6531/SBY/PL/5561,SBY2811273,FILANO-NEO,2019,20112,Rutin,Kritis,Perlu Penyetelan,11,6721,2,1,10056
21-01-2021,FJB/9051/SBY/PL/4804,SBY4373074,FAZZIO-NEO-HY,2018,15884,Repair,Kritis,Perlu Penyetelan,10,2864,3,1,5294
22-01-2021,FJB/2451/SBY/PL/9989,SBY2416855,MT-15,2018,33377,Repair,Kritis,Perlu Penggantian,5,3330,3,4,11125
22-01-2021,FJB/4499/SBY/PL/3819,SBY6563237,MIO-M3 125,2021,140,Repair,Kritis,Baik,9,98,0,1,140
22-01-2021,FJB/2737/SBY/PL/9721,SBY1857909,ALL-NEW-AEROX,2020,14518,Rutin,Kritis,Baik,9,7468,1,1,14518
22-01-2021,FJB/7088/SBY/PL/1757,SBY8601262,LEXI,2018,14500,Rutin,Perlu Ganti,Perlu Penyetelan,7,2690,3,0,4833
22-01-2021,FJB/4909/SBY/PL/6576,SBY9413445,R15,2020,13124,Rutin,Perlu Ganti,Baik,4,2724,1,0,13124
22-01-2021,FJB/1415/SBY/PL/1143,SBY9713365,ALL-NEW-NMAX,2020,5691,Repair,Kritis,Baik,7,5101,1,2,5691
22-01-2021,FJB/1082/SBY/PL/6047,SBY7709073,FREE-GO-S,2019,12501,Rutin,Kritis,Baik,12,8051,2,0,6250
22-01-2021,FJB/1996/SBY/PL/2212,SBY6880726,NMAX-NEO-S,2018,34682,Rutin,Baik,Perlu Penggantian,4,834,3,0,11560
22-01-2021,FJB/1580/SBY/PL/7489,SBY6312328,XSR 155,2018,39741,Rutin,Baik,Perlu Penggantian,1,165,3,0,13247
22-01-2021,FJB/2724/SBY/PL/1437,SBY3192245,FAZZIO-NEO-HY,2021,70,Rutin,Kritis,Baik,12,52,0,0,70
23-01-2021,FJB/6788/SBY/PL/4878,SBY3407328,FILANO-NEO,2019,18596,Repair,Kritis,Perlu Penyetelan,11,5501,2,3,9298
23-01-2021,FJB/6893/SBY/PL/2039,SBY6573984,ALL-NEW-AEROX,2019,19941,Repair,Kritis,Perlu Penyetelan,7,4110,2,1,9970
23-01-2021,FJB/1405/SBY/PL/4545,SBY7042600,R15,2021,11,Rutin,Baik,Baik,1,1,0,0,11
23-01-2021,FJB/1851/SBY/PL/2821,SBY9991053,FREE-GO-S,2018,16438,Repair,Kritis,Perlu Penyetelan,8,2329,3,2,5479
23-01-2021,FJB/2802/SBY/PL/6581,SBY1412406,NMAX-NEO-S,2019,29750,Repair,Baik,Perlu Penggantian,1,259,2,2,14875
23-01-2021,FJB/3981/SBY/PL/8690,SBY8883683,MT-15,2021,204,Kupon Gratis I (DUA),Baik,Baik,2,152,0,0,204
23-01-2021,FJB/7086/SBY/PL/9442,SBY7452357,XSR 155,2021,12,Rutin,Kritis,Baik,8,9,0,0,12
24-01-2021,FJB/4915/SBY/PL/2070,SBY8152795,LEXI,2019,17197,Repair,Kritis,Perlu Penyetelan,11,7882,2,2,8598
24-01-2021,FJB/9241/SBY/PL/5048,SBY7596762,FREE-GO-S,2018,23862,Rutin,Baik,Perlu Penyetelan,2,699,3,0,7954
25-01-2021,FJB/8625/SBY/PL/1472,SBY7883051,ALL-NEW-NMAX,2018,19045,Repair,Kritis,Perlu Penyetelan,7,5182,3,2,6348
25-01-2021,FJB/6314/SBY/PL/5019,SBY3981600,ALL-NEW-AEROX,2018,45623,Repair,Kritis,Perlu Penggantian,7,4411,3,2,15207
25-01-2021,FJB/1149/SBY/PL/4129,SBY7717337,LEXI,2020,6193,Rutin,Kritis,Baik,8,2638,1,0,6193
25-01-2021,FJB/9577/SBY/PL/6621,SBY6067222,FREE-GO-S,2019,10658,Kupon Gratis II (TIGA),Baik,Baik,3,920,2,0,5329
25-01-2021,FJB/9105/SBY/PL/2804,SBY4036093,MIO,2018,18348,Repair,Kritis,Perlu Penyetelan,5,3203,3,2,6116
25-01-2021,FJB/9140/SBY/PL/4367,SBY7117642,MIO,2019,12301,Repair,Kritis,Baik,12,3600,2,2,6150
25-01-2021,FJB/9357/SBY/PL/3751,SBY1745184,XSR 155,2019,17632,Rutin,Baik,Perlu Penyetelan,4,177,2,0,8816
25-01-2021,FJB/4319/SBY/PL/9736,SBY7230351,FREE-GO-S,2020,9339,Repair,Kritis,Baik,11,8865,1,2,9339
26-01-2021,FJB/5145/SBY/PL/3209,SBY9447268,MIO,2018,24713,Repair,Kritis,Perlu Penyetelan,6,4936,3,2,8237
26-01-2021,FJB/5987/SBY/PL/1794,SBY5111114,LEXI,2021,0,Rutin,Kritis,Baik,8,0,0,0,0
26-01-2021,FJB/3568/SBY/PL/8829,SBY2163670,X-MAX-CONNEC,2018,23670,Kupon Gratis III (TIGA),Baik,Perlu Penyetelan,3,1547,3,1,7890
26-01-2021,FJB/4242/SBY/PL/5068,SBY4621891,FAZZIO-NEO-HY,2019,10372,Rutin,Kritis,Baik,7,4114,2,0,5186
27-01-2021,FJB/4985/SBY/PL/9083,SBY6205284,XSR 155,2019,27543,Rutin,Perlu Ganti,Perlu Penggantian,2,2415,2,1,13771
27-01-2021,FJB/8934/SBY/PL/9837,SBY1946090,MIO,2020,9756,Rutin,Kritis,Baik,10,7473,1,1,9756
27-01-2021,FJB/6932/SBY/PL/3060,SBY4028181,LEXI,2019,18661,Repair,Kritis,Perlu Penyetelan,10,5963,2,1,9330
27-01-2021,FJB/2110/SBY/PL/2651,SBY2399912,MT-15,2019,25566,Repair,Kritis,Perlu Penggantian,9,252,2,3,12783
27-01-2021,FJB/2452/SBY/PL/3480,SBY9759005,ALL-NEW-AEROX,2020,11967,Rutin,Kritis,Baik,7,5389,1,0,11967
27-01-2021,FJB/7096/SBY/PL/5212,SBY5060640,FILANO-NEO,2018,24063,Repair,Kritis,Perlu Penyetelan,8,1863,3,2,8021
28-01-2021,FJB/8093/SBY/PL/4732,SBY8660906,ALL-NEW-NMAX,2019,10397,Rutin,Perlu Ganti,Baik,5,539,2,0,5198
28-01-2021,FJB/8950/SBY/PL/8468,SBY1378391,MIO-M3 125,2018,30702,Repair,Kritis,Perlu Penggantian,11,963,3,2,10234
28-01-2021,FJB/2801/SBY/PL/4703,SBY5195901,ALL-NEW-NMAX,2021,429,Rutin,Baik,Baik,3,117,0,0,429
28-01-2021,FJB/6877/SBY/PL/3335,SBY5306712,XSR 155,2019,20107,Repair,Kritis,Perlu Penyetelan,10,3939,2,3,10053
28-01-2021,FJB/5763/SBY/PL/1332,SBY8649628,MIO,2018,37199,Repair,Kritis,Perlu Penggantian,10,5515,3,2,12399
28-01-2021,FJB/9358/SBY/PL/9822,SBY4135275,ALL-NEW-AEROX,2019,21871,Rutin,Perlu Ganti,Perlu Penyetelan,2,2157,2,0,10935
28-01-2021,FJB/4781/SBY/PL/8012,SBY9563839,R15,2021,0,Repair,Kritis,Baik,11,0,0,1,0
28-01-2021,FJB/1068/SBY/PL/7910,SBY6749156,LEXI,2021,0,Kupon Gratis III (TIGA),Perlu Ganti,Baik,7,0,0,0,0
29-01-2021,FJB/4816/SBY/PL/9917,SBY4016868,X-MAX-CONNEC,2018,31497,Rutin,Baik,Perlu Penggantian,4,895,3,0,10499
29-01-2021,FJB/1094/SBY/PL/8666,SBY4475024,LEXI,2019,11479,Kupon Gratis III (TIGA),Baik,Baik,2,631,2,0,5739
29-01-2021,FJB/3620/SBY/PL/4402,SBY3164094,X-MAX-CONNEC,2020,12286,Kupon Gratis II (TIGA),Kritis,Baik,7,5856,1,1,12286
29-01-2021,FJB/2932/SBY/PL/7741,SBY6494665,NMAX-NEO-S,2021,227,Rutin,Perlu Ganti,Baik,7,44,0,0,227
